Username	FIRSTNAME	LASTNAME	EMAIL	DSK	create_date
ttt_anonymous_a01	anonymous 01	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a02	anonymous 02	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a03	anonymous 03	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a04	anonymous 04	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a05	anonymous 05	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a06	anonymous 06	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a07	anonymous 07	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a08	anonymous 08	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a09	anonymous 09	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
ttt_anonymous_a10	anonymous 10	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-07-12 12:19:55.0
bbstaff003	bbstaff003	bbstaff003		university_ADFS	2018-05-23 10:58:47.0
bbstaff002	bbstaff002	bbstaff002		university_ADFS	2018-05-23 10:58:28.0
bbstaff007	bbstaff007	bbstaff007		university_ADFS	2018-05-23 10:59:58.0
bbstaff008	bbstaff008	bbstaff008		university_ADFS	2018-05-23 11:00:20.0
bbstaff010	bbstaff010	bbstaff010		university_ADFS	2018-05-23 11:00:58.0
ttt_anonymous_022	anonymous 22	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_023	anonymous 23	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_024	anonymous 24	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_025	anonymous 25	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_026	anonymous 26	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_027	anonymous 27	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_028	anonymous 28	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_029	anonymous 29	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_030	anonymous 30	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
anyuser2	anyuser2	anyuser2		university_ADFS	2018-05-25 10:51:41.0
snuser2	snuser2	snuser2		university_ADFS	2018-05-25 17:07:23.0
anyuser1	anyuser1	anyuser1		university_ADFS	2018-05-25 17:07:42.0
13000001d	13000001d	13000001d		university_ADFS	2018-05-25 17:09:17.0
vgstaff1	vgstaff1	vgstaff1		university_ADFS	2018-05-25 17:16:43.0
vgstaff2	vgstaff2	vgstaff2		university_ADFS	2018-05-26 00:53:59.0
ttt_anonymous_001	anonymous 01	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:40.0
ttt_anonymous_002	anonymous 02	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_003	anonymous 03	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
